"","Destination.City","Origin.City","Airline.Status","Age","Gender","Price.Sensitivity","Year.of.First.Flight","Flights.Per.Year","Loyalty","Type.of.Travel","Total.Freq.Flyer.Accts","Shopping.Amount.at.Airport","Eating.and.Drinking.at.Airport","Class","Day.of.Month","Flight.date","Partner.Code","Partner.Name","Origin.State","Destination.State","Scheduled.Departure.Hour","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","Flight.cancelled","Flight.time.in.minutes","Flight.Distance","Likelihood.to.recommend","olong","olat","dlong","dlat","freeText"
"320","Salt Lake City, UT","Houston, TX","Blue","<24","Male","2",2010,"6-12","0.059 to 0.3768","Business travel","1",30,65,"Eco",10,"1/10/14","OU","Oursin Airlines Inc.","Texas","Utah",21,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","1000.0+ MILES","0",-95.3935,29.7843,-111.9295,40.6408,NA
"321","Chicago, IL","Albuquerque, NM","Blue","36-46","Female","1",2009,"<6","<-0.75","Business travel","1+",90,90,"Eco",9,"1/9/14","WN","Cheapseats Airlines Inc.","New Mexico","Illinois",8,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","1000.0+ MILES","0",-106.6281,35.1434,-87.8954,41.8271,NA
"322","Houston, TX","Tampa, FL","Blue","36-46","Female","1",2003,"<6","-0.451 to 0.0588","Business travel","1",0,60,"Eco",23,"2/23/14","OU","Oursin Airlines Inc.","Florida","Texas",6,"LESS THAN 5 MINS","20 MINS TO 60 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-82.5132,28.0062,-95.3935,29.7843,NA
"323","Las Vegas, NV","Indianapolis, IN","Gold","36-46","Female","1",2008,"6-12","<-0.75","Business travel","1+",0,15,"Eco",20,"1/20/14","WN","Cheapseats Airlines Inc.","Indiana","Nevada",15,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","180+ Minutes","1000.0+ MILES","0",-86.1455,39.8113,-115.1672,36.1349,NA
"324","Atlanta, GA","New Orleans, LA","Silver","47-58","Male","1",2003,"13-25","-0.451 to 0.0588","Business travel","1",20,150,"Eco",20,"3/20/14","DL","Sigma Airlines Inc.","Louisiana","Georgia",15,"10 MINS TO 20 MINS","5 MINS TO 10 MINS","No","LESS THAN 60 MINS","400 MILES TO 1000.0 MILES","1",-90.1437,29.9547,-84.3319,33.8241,NA
"325","Seattle, WA","San Francisco, CA","Blue","47-58","Male","1",2003,"6-12","<-0.75","Business travel","0",0,90,"Eco",10,"1/10/14","VX","Cool&Young Airlines Inc.","California","Washington",7,"LESS THAN 5 MINS","5 MINS TO 10 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","1",-122.1585,37.6712,-122.2747,47.4684,NA
"326","Washington, DC","Seattle, WA","Blue","47-58","Male","1",2011,"38+","-0.451 to 0.0588","Business travel","1",0,120,"Eco",8,"1/8/14","AS","FlyToSun Airlines Inc.","Washington","Virginia",8,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","180+ Minutes","1000.0+ MILES","1",-122.2747,47.4684,-77.1897,38.8974,NA
"327","Denver, CO","Indianapolis, IN","Gold","57-71","Male","1",2012,"38+","-0.451 to 0.0588","Business travel","0",0,80,"Eco",17,"3/17/14","WN","Cheapseats Airlines Inc.","Indiana","Colorado",19,"5 MINS TO 10 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-86.1455,39.8113,-104.9551,39.7108,NA
"328","Washington, DC","Austin, TX","Blue","36-46","Male","2",2003,"6-12","<-0.75","Business travel","0",0,135,"Eco",8,"1/8/14","WN","Cheapseats Airlines Inc.","Texas","Virginia",12,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","1000.0+ MILES","0",-97.7615,30.3585,-77.1897,38.8974,NA
"329","Miami, FL","New York, NY","Gold","36-46","Male","1",2005,"6-12","0.059 to 0.3768","Business travel","1+",10,90,"Eco",25,"3/25/14","AA","Paul Smith Airlines Inc.","New York","Florida",18,"5 MINS TO 10 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","1000.0+ MILES","1",-73.9702,40.7184,-80.2314,26.1756,NA
"330","Orlando, FL","Ponce, PR","Blue","36-46","Male","1",2005,"13-25","<-0.75","Business travel","1+",0,70,"Eco",30,"1/30/14","B6","OnlyJets Airlines Inc.","Puerto Rico","Florida",4,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","1000.0+ MILES","1",-66.6342,18.0183,-81.4112,28.5844,NA
"331","Chicago, IL","St. Louis, MO","Blue","25-35","Female","1",2007,"6-12","0.3768+","Business travel","1+",30,80,"Eco Plus",11,"3/11/14","WN","Cheapseats Airlines Inc.","Missouri","Illinois",7,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-90.3409,38.6307,-87.8954,41.8271,NA
"332","Salt Lake City, UT","Elko, NV","Blue","57-71","Male","1",2011,"<6","0.3768+","Business travel","0",0,90,"Eco",3,"1/3/14","OO","Northwest Business Airlines Inc.","Nevada","Utah",17,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-115.7728,40.8368,-111.9295,40.6408,NA
"333","Las Vegas, NV","Anchorage, AK","Silver","47-58","Female","1",2006,"13-25","<-0.75","Business travel","1+",90,180,"Eco",19,"1/19/14","AS","FlyToSun Airlines Inc.","Alaska","Nevada",10,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","180+ Minutes","1000.0+ MILES","1",-149.8472,61.1679,-115.1672,36.1349,NA
"334","Los Angeles, CA","Las Vegas, NV","Blue","<24","Male","2",2007,"<6","0.3768+","Business travel","1",0,30,"Eco",23,"3/23/14","OO","Northwest Business Airlines Inc.","Nevada","California",16,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-115.1672,36.1349,-118.1043,33.9827,NA
"335","Dallas, TX","Houston, TX","Blue","71+","Female","2",2004,"13-25","<-0.75","Personal Travel","0",0,20,"Eco",7,"3/7/14","WN","Cheapseats Airlines Inc.","Texas","Texas",21,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-95.3935,29.7843,-96.972,32.8127,NA
"336","Las Vegas, NV","San Jose, CA","Blue","47-58","Male","2",2005,"6-12","<-0.75","Business travel","0",0,0,"Eco",6,"1/6/14","WN","Cheapseats Airlines Inc.","California","Nevada",6,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","LESS THAN 400 MILES","0",-121.9451,37.3298,-115.1672,36.1349,NA
"337","Charlotte, NC","Pittsburgh, PA","Blue","47-58","Male","1",2012,"26-38","-0.451 to 0.0588","Mileage tickets","0",0,225,"Eco",11,"2/11/14","US","Southeast Airlines Co.","Pennsylvania","North Carolina",12,"LESS THAN 5 MINS","10 MINS TO 20 MINS","No","60 MINS TO 180 MINS","LESS THAN 400 MILES","0",-79.951,40.457,-80.8158,35.2497,NA
"338","Los Angeles, CA","San Diego, CA","Blue","36-46","Male","1",2012,"13-25","<-0.75","Business travel","1+",0,75,"Eco",3,"3/3/14","OO","Northwest Business Airlines Inc.","California","California",15,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-117.1288,32.9287,-118.1043,33.9827,NA
"339","Chicago, IL","Orlando, FL","Blue","<24","Female","1",2010,"<6","0.3768+","Personal Travel","1+",30,85,"Eco Plus",19,"3/19/14","FL","FlyHere Airways","Florida","Illinois",16,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-81.4112,28.5844,-87.8954,41.8271,NA
"340","Orlando, FL","Philadelphia, PA","Silver","47-58","Male","1",2004,"38+","-0.451 to 0.0588","Personal Travel","0",0,90,"Eco",4,"1/4/14","FL","FlyHere Airways","Pennsylvania","Florida",7,"20 MINS TO 60 MINS","20 MINS TO 60 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-75.2984,39.9733,-81.4112,28.5844,NA
"341","Chicago, IL","Dayton, OH","Silver","36-46","Female","0",2006,"38+","-0.451 to 0.0588","Business travel","0",115,60,"Eco",17,"3/17/14","MQ","EnjoyFlying Air Services","Ohio","Illinois",11,"10 MINS TO 20 MINS","10 MINS TO 20 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","1",-84.1671,39.7549,-87.8954,41.8271,NA
"342","Houston, TX","Kansas City, MO","Blue","47-58","Male","1",2004,"26-38","-0.451 to 0.0588","Business travel","0",0,30,"Eco",31,"3/31/14","WN","Cheapseats Airlines Inc.","Missouri","Texas",21,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-94.5949,39.0398,-95.3935,29.7843,NA
"343","New Orleans, LA","Atlanta, GA","Blue","<24","Female","2",2010,"26-38","<-0.75","Personal Travel","1+",25,35,"Eco",13,"1/13/14","DL","Sigma Airlines Inc.","Georgia","Louisiana",21,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-84.3319,33.8241,-90.1437,29.9547,NA
"344","Houston, TX","Tulsa, OK","Silver","57-71","Male","1",2007,"6-12","<-0.75","Business travel","0",10,170,"Eco",16,"2/16/14","EV","FlyFast Airways Inc.","Oklahoma","Texas",17,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-95.9013,36.1054,-95.3935,29.7843,NA
"345","Columbus, OH","New York, NY","Silver","36-46","Female","2",2007,"26-38","<-0.75","Mileage tickets","1+",0,145,"Eco",28,"2/28/14","MQ","EnjoyFlying Air Services","New York","Ohio",19,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","1",-73.9702,40.7184,-82.9685,40.0212,NA
"346","Chicago, IL","St. Louis, MO","Blue","47-58","Female","0",2008,"13-25","-0.451 to 0.0588","Business travel","0",0,15,"Eco",28,"2/28/14","AA","Paul Smith Airlines Inc.","Missouri","Illinois",6,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","1",-90.3409,38.6307,-87.8954,41.8271,NA
"347","Denver, CO","Lincoln, NE","Blue","36-46","Female","1",2010,"13-25","<-0.75","Business travel","1+",0,150,"Eco",2,"3/2/14","EV","FlyFast Airways Inc.","Nebraska","Colorado",18,"0-60 Mins","60 MINS TO 180 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","1",-96.6804,40.8071,-104.9551,39.7108,NA
"348","Harrisburg, PA","Chicago, IL","Blue","71+","Female","2",2003,"13-25","-0.451 to 0.0588","Personal Travel","0",0,25,"Eco Plus",5,"3/5/14","EV","FlyFast Airways Inc.","Illinois","Pennsylvania",7,"10 MINS TO 20 MINS","10 MINS TO 20 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-87.8954,41.8271,-76.8662,40.2456,NA
"349","Oklahoma City, OK","Salt Lake City, UT","Blue","<24","Female","2",2010,"13-25","-0.451 to 0.0588","Business travel","1",0,120,"Eco",2,"1/2/14","OO","Northwest Business Airlines Inc.","Utah","Oklahoma",13,"10 MINS TO 20 MINS","5 MINS TO 10 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-111.9295,40.6408,-97.5243,35.5048,NA
"350","Miami, FL","Atlanta, GA","Gold","36-46","Male","1",2003,"13-25","0.059 to 0.3768","Business travel","1+",0,30,"Eco",20,"3/20/14","MQ","EnjoyFlying Air Services","Georgia","Florida",18,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","1",-84.3319,33.8241,-80.2314,26.1756,NA
"351","Atlanta, GA","Kansas City, MO","Silver","36-46","Female","2",2010,"<6","0.3768+","Personal Travel","1+",0,174,"Eco",26,"2/26/14","DL","Sigma Airlines Inc.","Missouri","Georgia",7,"5 MINS TO 10 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-94.5949,39.0398,-84.3319,33.8241,NA
"352","Indianapolis, IN","Charlotte, NC","Silver","36-46","Female","1",2005,"13-25","<-0.75","Business travel","1+",0,120,"Eco",29,"3/29/14","US","Southeast Airlines Co.","North Carolina","Indiana",17,"0-60 Mins","60 MINS TO 180 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-80.8158,35.2497,-86.1455,39.8113,NA
"353","Philadelphia, PA","San Francisco, CA","Silver","25-35","Female","1",2010,"<6","0.3768+","Mileage tickets","1+",0,15,"Eco",21,"2/21/14","OU","Oursin Airlines Inc.","California","Pennsylvania",22,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","180+ Minutes","1000.0+ MILES","0",-122.1585,37.6712,-75.2984,39.9733,NA
"354","Waterloo, IA","Chicago, IL","Silver","25-35","Female","2",2011,"13-25","-0.451 to 0.0588","Personal Travel","0",0,120,"Eco",16,"3/16/14","MQ","EnjoyFlying Air Services","Illinois","Iowa",15,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-87.8954,41.8271,-92.3842,42.4959,NA
"355","Sioux Falls, SD","Denver, CO","Blue","<24","Female","1",2003,"<6","<-0.75","Personal Travel","0",0,35,"Eco Plus",13,"2/13/14","EV","FlyFast Airways Inc.","Colorado","South Dakota",19,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-104.9551,39.7108,-96.7356,43.5335,NA
"356","Phoenix, AZ","San Francisco, CA","Blue","36-46","Male","1",2009,"38+","-0.451 to 0.0588","Business travel","0",0,40,"Eco",29,"3/29/14","US","Southeast Airlines Co.","California","Arizona",15,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","1",-122.1585,37.6712,-111.97,33.4941,NA
"357","Las Vegas, NV","Tucson, AZ","Blue","36-46","Female","1",2012,"13-25","0.3768+","Mileage tickets","1",30,240,"Eco",16,"1/16/14","WN","Cheapseats Airlines Inc.","Arizona","Nevada",19,"20 MINS TO 60 MINS","20 MINS TO 60 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-110.9461,32.2549,-115.1672,36.1349,NA
"358","Las Vegas, NV","Oklahoma City, OK","Silver","<24","Female","2",2003,"13-25","-0.451 to 0.0588","Business travel","0",25,100,"Business",9,"1/9/14","WN","Cheapseats Airlines Inc.","Oklahoma","Nevada",7,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","1",-97.5243,35.5048,-115.1672,36.1349,NA
"359","Indianapolis, IN","Phoenix, AZ","Blue","57-71","Female","1",2005,"13-25","-0.451 to 0.0588","Personal Travel","0",0,60,"Eco",11,"2/11/14","US","Southeast Airlines Co.","Arizona","Indiana",13,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","1000.0+ MILES","0",-111.97,33.4941,-86.1455,39.8113,NA
"360","Denver, CO","St. George, UT","Blue","<24","Male","3",2011,"<6","0.059 to 0.3768","Mileage tickets","1+",0,0,"Eco",9,"1/9/14","OO","Northwest Business Airlines Inc.","Utah","Colorado",13,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-113.5674,37.1056,-104.9551,39.7108,NA
"361","Orlando, FL","Baltimore, MD","Blue","<24","Female","1",2012,"13-25","<-0.75","Personal Travel","1+",0,15,"Eco Plus",27,"3/27/14","WN","Cheapseats Airlines Inc.","Maryland","Florida",6,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-76.6478,39.2341,-81.4112,28.5844,NA
"362","Chattanooga, TN","Atlanta, GA","Blue","57-71","Female","2",2007,"<6","0.059 to 0.3768","Mileage tickets","0",0,0,"Eco",4,"2/4/14","EV","FlyFast Airways Inc.","Georgia","Tennessee",9,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-84.3319,33.8241,-85.2104,35.0585,NA
"363","Atlanta, GA","Fort Wayne, IN","Platinum","36-46","Female","2",2012,"6-12","<-0.75","Business travel","0",0,30,"Eco",8,"1/8/14","OO","Northwest Business Airlines Inc.","Indiana","Georgia",12,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-85.1389,41.1004,-84.3319,33.8241,NA
"364","Philadelphia, PA","Chicago, IL","Silver","25-35","Female","1",2006,"13-25","0.059 to 0.3768","Business travel","1+",0,65,"Eco",6,"2/6/14","WN","Cheapseats Airlines Inc.","Illinois","Pennsylvania",20,"10 MINS TO 20 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","1",-87.8954,41.8271,-75.2984,39.9733,NA
"365","Atlanta, GA","Washington, DC","Blue","25-35","Male","1",2004,"13-25","-0.451 to 0.0588","Business travel","0",0,30,"Eco",19,"1/19/14","DL","Sigma Airlines Inc.","Virginia","Georgia",18,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","1",-77.1897,38.8974,-84.3319,33.8241,NA
"366","Richmond, VA","Charlotte, NC","Silver","25-35","Male","1",2012,"13-25","-0.451 to 0.0588","Business travel","0",10,35,"Eco",12,"3/12/14","US","Southeast Airlines Co.","North Carolina","Virginia",20,"LESS THAN 5 MINS","5 MINS TO 10 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-80.8158,35.2497,-77.488,37.4779,NA
"367","Atlanta, GA","San Juan, PR","Blue","36-46","Female","1",2008,"<6","0.3768+","Business travel","1+",15,25,"Eco",22,"1/22/14","DL","Sigma Airlines Inc.","Puerto Rico","Georgia",15,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","180+ Minutes","1000.0+ MILES","0",-66.1162,18.2882,-84.3319,33.8241,NA
"368","Washington, DC","Tampa, FL","Gold","47-58","Male","1",2003,"6-12","<-0.75","Business travel","1+",0,95,"Eco",30,"1/30/14","US","Southeast Airlines Co.","Florida","Virginia",19,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","1",-82.5132,28.0062,-77.1897,38.8974,NA
"369","Phoenix, AZ","Charlotte, NC","Blue","71+","Male","2",2008,"38+","-0.451 to 0.0588","Personal Travel","0",0,20,"Eco",11,"2/11/14","US","Southeast Airlines Co.","North Carolina","Arizona",13,"10 MINS TO 20 MINS","20 MINS TO 60 MINS","No","180+ Minutes","1000.0+ MILES","0",-80.8158,35.2497,-111.97,33.4941,NA
"370","Little Rock, AR","Chicago, IL","Blue","25-35","Female","1",2007,"<6","0.3768+","Business travel","1+",5,40,"Eco",18,"1/18/14","MQ","EnjoyFlying Air Services","Illinois","Arkansas",12,"0-60 Mins","180+ Minutes","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","1",-87.8954,41.8271,-92.3212,34.7566,NA
"371","Chicago, IL","Fargo, ND","Blue","36-46","Male","1",2010,"26-38","-0.451 to 0.0588","Mileage tickets","0",0,45,"Eco",13,"2/13/14","MQ","EnjoyFlying Air Services","North Dakota","Illinois",7,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","1",-96.8207,46.8625,-87.8954,41.8271,NA
"372","Wichita, KS","Chicago, IL","Blue","<24","Female","1",2003,"38+","-0.451 to 0.0588","Personal Travel","0",60,25,"Eco",1,"1/1/14","OO","Northwest Business Airlines Inc.","Illinois","Kansas",16,"0-60 Mins","60 MINS TO 180 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-87.8954,41.8271,-97.3273,37.6797,NA
"373","Atlanta, GA","Fort Wayne, IN","Blue","47-58","Female","1",2012,"13-25","-0.451 to 0.0588","Business travel","0",0,105,"Business",28,"1/28/14","EV","FlyFast Airways Inc.","Indiana","Georgia",17,"20 MINS TO 60 MINS","20 MINS TO 60 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-85.1389,41.1004,-84.3319,33.8241,NA
"374","Knoxville, TN","Chicago, IL","Blue","<24","Female","2",2010,"26-38","-0.451 to 0.0588","Personal Travel","0",0,70,"Business",21,"2/21/14","MQ","EnjoyFlying Air Services","Illinois","Tennessee",19,"0-60 Mins","180+ Minutes","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-87.8954,41.8271,-84.0244,35.9168,NA
"375","Boston, MA","New York, NY","Blue","47-58","Male","1",2006,"13-25","<-0.75","Mileage tickets","0",20,20,"Eco",18,"1/18/14","AA","Paul Smith Airlines Inc.","New York","Massachusetts",20,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-73.9702,40.7184,-71.1407,42.3731,NA
"376","Chicago, IL","San Francisco, CA","Silver","25-35","Female","1",2003,"13-25","0.059 to 0.3768","Business travel","1",60,60,"Eco",3,"3/3/14","OU","Oursin Airlines Inc.","California","Illinois",12,"20 MINS TO 60 MINS","LESS THAN 5 MINS","No","180+ Minutes","1000.0+ MILES","1",-122.1585,37.6712,-87.8954,41.8271,NA
"377","Minneapolis, MN","Las Vegas, NV","Blue","36-46","Female","1",2003,"6-12","-0.451 to 0.0588","Business travel","1+",45,0,"Eco",28,"1/28/14","DL","Sigma Airlines Inc.","Nevada","Minnesota",7,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","1000.0+ MILES","0",-115.1672,36.1349,-93.2798,44.9782,NA
"378","Atlanta, GA","Columbia, SC","Blue","47-58","Female","1",2008,"<6","<-0.75","Business travel","0",25,0,"Eco",2,"1/2/14","EV","FlyFast Airways Inc.","South Carolina","Georgia",14,"20 MINS TO 60 MINS","20 MINS TO 60 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-81.0772,34.0362,-84.3319,33.8241,NA
"379","Chicago, IL","Phoenix, AZ","Gold","36-46","Male","0",2010,"13-25","<-0.75","Business travel","0",0,15,"Eco",24,"2/24/14","US","Southeast Airlines Co.","Arizona","Illinois",9,"20 MINS TO 60 MINS","10 MINS TO 20 MINS","No","60 MINS TO 180 MINS","1000.0+ MILES","1",-111.97,33.4941,-87.8954,41.8271,NA
"380","Twin Falls, ID","Salt Lake City, UT","Blue","47-58","Male","0",2005,"38+","-0.451 to 0.0588","Business travel","0",0,0,"Eco",2,"1/2/14","OO","Northwest Business Airlines Inc.","Utah","Idaho",20,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-111.9295,40.6408,-114.4541,42.5615,NA
"381","Indianapolis, IN","Atlanta, GA","Blue","71+","Female","2",2003,"13-25","<-0.75","Personal Travel","0",60,125,"Eco",28,"2/28/14","DL","Sigma Airlines Inc.","Georgia","Indiana",14,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-84.3319,33.8241,-86.1455,39.8113,NA
"382","Salt Lake City, UT","Chicago, IL","Blue","25-35","Male","2",2011,"6-12","<-0.75","Mileage tickets","1+",10,45,"Eco",10,"1/10/14","OO","Northwest Business Airlines Inc.","Illinois","Utah",18,"LESS THAN 5 MINS","5 MINS TO 10 MINS","No","60 MINS TO 180 MINS","1000.0+ MILES","0",-87.8954,41.8271,-111.9295,40.6408,NA
"383","Dallas, TX","Austin, TX","Blue","<24","Male","1",2006,"26-38","-0.451 to 0.0588","Business travel","1+",10,30,"Eco",27,"1/27/14","WN","Cheapseats Airlines Inc.","Texas","Texas",11,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-97.7615,30.3585,-96.972,32.8127,NA
"384","Las Vegas, NV","Salt Lake City, UT","Silver","36-46","Female","1",2007,"<6","0.059 to 0.3768","Business travel","1+",0,90,"Eco",23,"1/23/14","OO","Northwest Business Airlines Inc.","Utah","Nevada",17,"10 MINS TO 20 MINS","LESS THAN 5 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-111.9295,40.6408,-115.1672,36.1349,NA
"385","Montgomery, AL","Atlanta, GA","Blue","47-58","Male","1",2006,"26-38","-0.451 to 0.0588","Business travel","0",0,60,"Eco",11,"2/11/14","EV","FlyFast Airways Inc.","Georgia","Alabama",17,"0-60 Mins","180+ Minutes","Yes","60 MINS TO 180 MINS","LESS THAN 400 MILES","0",-84.3319,33.8241,-86.2975,32.4,NA
"386","Phoenix, AZ","Los Angeles, CA","Blue","25-35","Male","2",2005,"<6","0.3768+","Business travel","1+",0,60,"Eco Plus",5,"2/5/14","OO","Northwest Business Airlines Inc.","California","Arizona",8,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-118.1043,33.9827,-111.97,33.4941,NA
"387","Orlando, FL","Houston, TX","Blue","47-58","Male","1",2010,"26-38","-0.451 to 0.0588","Mileage tickets","0",0,130,"Eco Plus",6,"1/6/14","OU","Oursin Airlines Inc.","Texas","Florida",7,"5 MINS TO 10 MINS","5 MINS TO 10 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-95.3935,29.7843,-81.4112,28.5844,NA
"388","Philadelphia, PA","Boston, MA","Blue","36-46","Male","1",2003,"6-12","<-0.75","Business travel","1",10,95,"Eco",10,"2/10/14","US","Southeast Airlines Co.","Massachusetts","Pennsylvania",9,"0-60 Mins","60 MINS TO 180 MINS","No","60 MINS TO 180 MINS","LESS THAN 400 MILES","0",-71.1407,42.3731,-75.2984,39.9733,NA
"389","Phoenix, AZ","Grand Junction, CO","Gold","57-71","Male","1",2003,"26-38","-0.451 to 0.0588","Personal Travel","0",0,84,"Eco",7,"1/7/14","OO","Northwest Business Airlines Inc.","Colorado","Arizona",8,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-108.5675,39.0891,-111.97,33.4941,NA
"390","Orlando, FL","New York, NY","Blue","<24","Male","2",2005,"38+","-0.451 to 0.0588","Personal Travel","1",0,20,"Eco",30,"1/30/14","B6","OnlyJets Airlines Inc.","New York","Florida",9,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-73.9702,40.7184,-81.4112,28.5844,NA
"391","Los Angeles, CA","Tucson, AZ","Silver","47-58","Male","1",2003,"13-25","-0.451 to 0.0588","Business travel","1",0,65,"Eco",2,"2/2/14","OO","Northwest Business Airlines Inc.","Arizona","California",14,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-110.9461,32.2549,-118.1043,33.9827,NA
