"","Partner.Name","Age","Gender","Airline.Status","Price.Sensitivity","Loyalty","Type.of.Travel","Total.Freq.Flyer.Accts","Class","Flights.Per.Year","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","Flight.time.in.minutes","Flight.Distance","Flight.cancelled","Likelihood.to.recommend"
"2140","FlyToSun Airlines Inc.","71+","Male","Blue","2","-0.451 to 0.0588","Mileage tickets","0","Eco","26-38","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2141","FlyHere Airways","36-46","Female","Silver","1","0.059 to 0.3768","Personal Travel","1+","Eco","6-12","LESS THAN 5 MINS","5 MINS TO 10 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2142","Cheapseats Airlines Inc.","47-58","Female","Silver","2","0.059 to 0.3768","Business travel","1","Eco","<6","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","1000.0+ MILES","No","0"
"2143","Cheapseats Airlines Inc.","57-71","Male","Blue","1","-0.451 to 0.0588","Personal Travel","0","Eco","38+","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","1"
"2144","Cheapseats Airlines Inc.","57-71","Male","Silver","2","-0.451 to 0.0588","Business travel","0","Business","13-25","0-60 Mins","20 MINS TO 60 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","0"
"2145","Southeast Airlines Co.","25-35","Male","Silver","1","<-0.75","Business travel","1","Eco","26-38","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","0"
"2146","Cheapseats Airlines Inc.","36-46","Female","Blue","1","-0.451 to 0.0588","Business travel","0","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2147","Sigma Airlines Inc.","25-35","Female","Silver","1","<-0.75","Business travel","1+","Eco","6-12","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2148","FlyFast Airways Inc.","25-35","Female","Blue","1","-0.451 to 0.0588","Business travel","1+","Eco Plus","6-12","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2149","Sigma Airlines Inc.","57-71","Female","Gold","1","-0.451 to 0.0588","Personal Travel","1","Business","38+","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2150","OnlyJets Airlines Inc.","25-35","Female","Blue","2","0.059 to 0.3768","Mileage tickets","0","Eco","<6","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","1000.0+ MILES","No","1"
"2151","Oursin Airlines Inc.","57-71","Female","Blue","2","-0.451 to 0.0588","Personal Travel","0","Eco","26-38","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","1"
"2152","Sigma Airlines Inc.","25-35","Male","Blue","2","-0.451 to 0.0588","Business travel","0","Eco Plus","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"2153","Sigma Airlines Inc.","57-71","Male","Blue","1","-0.451 to 0.0588","Personal Travel","0","Eco","26-38","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","1000.0+ MILES","No","1"
"2154","Cheapseats Airlines Inc.","36-46","Male","Blue","1","<-0.75","Personal Travel","1","Eco","26-38","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","1000.0+ MILES","No","1"
"2155","Cheapseats Airlines Inc.","57-71","Male","Gold","0","0.059 to 0.3768","Business travel","0","Eco","6-12","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","0"
"2156","Paul Smith Airlines Inc.","36-46","Female","Blue","1","-0.451 to 0.0588","Business travel","1+","Eco","26-38","0-60 Mins","60 MINS TO 180 MINS","60 MINS TO 180 MINS","1000.0+ MILES","No","1"
"2157","Cheapseats Airlines Inc.","71+","Female","Blue","1","-0.451 to 0.0588","Personal Travel","0","Eco","26-38","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","1"
"2158","Sigma Airlines Inc.","47-58","Female","Blue","2","-0.451 to 0.0588","Business travel","0","Eco","26-38","LESS THAN 5 MINS","LESS THAN 5 MINS","180+ Minutes","1000.0+ MILES","No","0"
"2159","Cheapseats Airlines Inc.","47-58","Female","Silver","1","<-0.75","Business travel","0","Eco","6-12","5 MINS TO 10 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"2160","Cheapseats Airlines Inc.","71+","Female","Blue","1","-0.451 to 0.0588","Business travel","0","Eco","13-25","10 MINS TO 20 MINS","LESS THAN 5 MINS","180+ Minutes","1000.0+ MILES","No","1"
"2161","Oursin Airlines Inc.","36-46","Female","Blue","2","-0.451 to 0.0588","Business travel","0","Business","26-38","LESS THAN 5 MINS","LESS THAN 5 MINS","180+ Minutes","1000.0+ MILES","No","0"
"2162","OnlyJets Airlines Inc.","57-71","Female","Blue","1","-0.451 to 0.0588","Personal Travel","0","Eco","38+","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","1000.0+ MILES","No","1"
"2163","FlyFast Airways Inc.","57-71","Female","Blue","1","-0.451 to 0.0588","Personal Travel","1","Eco","38+","0-60 Mins","60 MINS TO 180 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","1"
"2164","Oursin Airlines Inc.","47-58","Female","Blue","1","-0.451 to 0.0588","Personal Travel","1","Eco","26-38","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2165","FlyFast Airways Inc.","71+","Female","Silver","1","-0.451 to 0.0588","Personal Travel","0","Eco","26-38","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","0"
"2166","Cheapseats Airlines Inc.","25-35","Female","Blue","1","0.059 to 0.3768","Business travel","1","Eco Plus","<6","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","0"
"2167","Sigma Airlines Inc.","71+","Male","Blue","2","-0.451 to 0.0588","Personal Travel","0","Eco","38+","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","1"
"2168","Sigma Airlines Inc.","47-58","Male","Gold","1","0.059 to 0.3768","Business travel","1+","Eco","6-12","20 MINS TO 60 MINS","20 MINS TO 60 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"2169","Cheapseats Airlines Inc.","47-58","Male","Blue","2","-0.451 to 0.0588","Personal Travel","0","Business","38+","10 MINS TO 20 MINS","10 MINS TO 20 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2170","Cheapseats Airlines Inc.","57-71","Male","Blue","1","<-0.75","Business travel","0","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2171","EnjoyFlying Air Services","47-58","Female","Blue","1","-0.451 to 0.0588","Business travel","0","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"2172","Paul Smith Airlines Inc.","36-46","Female","Silver","2","<-0.75","Personal Travel","1+","Eco","26-38","10 MINS TO 20 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","1"
"2173","Northwest Business Airlines Inc.","71+","Female","Blue","1","<-0.75","Personal Travel","0","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","1"
"2174","FlyFast Airways Inc.","47-58","Female","Blue","1","-0.451 to 0.0588","Business travel","0","Eco","6-12","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","1"
"2175","EnjoyFlying Air Services","25-35","Male","Blue","1","0.059 to 0.3768","Business travel","1","Eco","<6","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","1000.0+ MILES","No","1"
"2176","EnjoyFlying Air Services","57-71","Female","Blue","1","-0.451 to 0.0588","Business travel","0","Eco","38+","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2177","Oursin Airlines Inc.","36-46","Male","Platinum","1","0.059 to 0.3768","Personal Travel","1+","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","180+ Minutes","1000.0+ MILES","No","0"
"2178","Southeast Airlines Co.","25-35","Female","Blue","1","0.059 to 0.3768","Personal Travel","1+","Eco","6-12","5 MINS TO 10 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2179","FlyFast Airways Inc.","36-46","Female","Blue","1","-0.451 to 0.0588","Personal Travel","1","Eco","38+","0","0","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","Yes","1"
"2180","Sigma Airlines Inc.","36-46","Female","Silver","1","<-0.75","Business travel","1+","Eco","<6","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","LESS THAN 400 MILES","No","0"
"2181","Cheapseats Airlines Inc.","57-71","Female","Silver","1","-0.451 to 0.0588","Business travel","0","Eco","38+","0-60 Mins","60 MINS TO 180 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"2182","Cheapseats Airlines Inc.","47-58","Female","Blue","1","-0.451 to 0.0588","Personal Travel","0","Business","13-25","5 MINS TO 10 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","1000.0+ MILES","No","1"
"2183","Sigma Airlines Inc.","25-35","Male","Blue","1","<-0.75","Personal Travel","1","Eco","13-25","0-60 Mins","60 MINS TO 180 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"2184","Cheapseats Airlines Inc.","71+","Male","Blue","2","-0.451 to 0.0588","Business travel","0","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2185","Sigma Airlines Inc.","47-58","Male","Blue","2","-0.451 to 0.0588","Business travel","0","Eco","26-38","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"2186","Northwest Business Airlines Inc.","57-71","Female","Blue","4","0.3768+","Personal Travel","0","Eco","<6","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","LESS THAN 400 MILES","No","1"
"2187","Cheapseats Airlines Inc.","36-46","Male","Blue","2","<-0.75","Personal Travel","1+","Eco","13-25","0-60 Mins","60 MINS TO 180 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2188","Northwest Business Airlines Inc.","36-46","Male","Gold","1","-0.451 to 0.0588","Business travel","0","Eco","26-38","LESS THAN 5 MINS","10 MINS TO 20 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2189","FlyFast Airways Inc.","71+","Male","Blue","1","-0.451 to 0.0588","Personal Travel","0","Business","13-25","20 MINS TO 60 MINS","20 MINS TO 60 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2190","Cheapseats Airlines Inc.","47-58","Female","Silver","1","<-0.75","Personal Travel","1","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","0"
"2191","Oursin Airlines Inc.","25-35","Male","Blue","2","<-0.75","Personal Travel","0","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","180+ Minutes","1000.0+ MILES","No","1"
"2192","FlyHere Airways","25-35","Female","Blue","2","-0.451 to 0.0588","Mileage tickets","1+","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2193","Southeast Airlines Co.","57-71","Female","Blue","1","-0.451 to 0.0588","Business travel","0","Eco","6-12","LESS THAN 5 MINS","10 MINS TO 20 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2194","Northwest Business Airlines Inc.","25-35","Female","Blue","1","0.3768+","Personal Travel","1+","Eco","<6","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","1"
"2195","Northwest Business Airlines Inc.","25-35","Female","Blue","2","0.059 to 0.3768","Business travel","1+","Eco","6-12","20 MINS TO 60 MINS","20 MINS TO 60 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2196","Sigma Airlines Inc.","25-35","Female","Silver","1","0.3768+","Personal Travel","1+","Eco","<6","10 MINS TO 20 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","400 MILES TO 1000.0 MILES","No","0"
"2197","Cool&Young Airlines Inc.","47-58","Female","Blue","1","<-0.75","Business travel","0","Eco","6-12","LESS THAN 5 MINS","LESS THAN 5 MINS","180+ Minutes","1000.0+ MILES","No","1"
"2198","FlyFast Airways Inc.","71+","Female","Blue","1","0.3768+","Personal Travel","0","Eco","<6","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","1"
"2199","Northwest Business Airlines Inc.","47-58","Female","Silver","1","-0.451 to 0.0588","Business travel","0","Eco","13-25","20 MINS TO 60 MINS","10 MINS TO 20 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","1"
"2200","Southeast Airlines Co.","57-71","Female","Blue","2","-0.451 to 0.0588","Business travel","0","Eco","6-12","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"2201","Sigma Airlines Inc.","36-46","Female","Blue","1","0.059 to 0.3768","Business travel","0","Eco","<6","LESS THAN 5 MINS","LESS THAN 5 MINS","180+ Minutes","1000.0+ MILES","No","1"
"2202","Sigma Airlines Inc.","36-46","Female","Silver","2","<-0.75","Business travel","1+","Business","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2203","Northwest Business Airlines Inc.","57-71","Female","Silver","1","-0.451 to 0.0588","Personal Travel","1","Eco","6-12","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","1"
"2204","OnlyJets Airlines Inc.","47-58","Female","Blue","1","0.059 to 0.3768","Business travel","1+","Eco Plus","6-12","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","1000.0+ MILES","No","0"
"2205","Sigma Airlines Inc.","57-71","Female","Silver","1","<-0.75","Business travel","1+","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","180+ Minutes","1000.0+ MILES","No","0"
"2206","Sigma Airlines Inc.","25-35","Female","Blue","2","0.059 to 0.3768","Mileage tickets","1+","Eco","26-38","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2207","FlyFast Airways Inc.","<24","Female","Blue","1","0.059 to 0.3768","Business travel","1+","Eco","6-12","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2208","Sigma Airlines Inc.","25-35","Female","Silver","1","0.3768+","Business travel","1+","Eco","<6","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","0"
"2209","FlyFast Airways Inc.","36-46","Female","Blue","1","<-0.75","Business travel","1+","Eco","13-25","5 MINS TO 10 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2210","Sigma Airlines Inc.","25-35","Female","Blue","1","0.059 to 0.3768","Business travel","1","Eco","13-25","LESS THAN 5 MINS","5 MINS TO 10 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"2211","FlyToSun Airlines Inc.","47-58","Female","Blue","3","-0.451 to 0.0588","Personal Travel","0","Eco","26-38","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2212","Oursin Airlines Inc.","36-46","Male","Silver","1","<-0.75","Business travel","1+","Eco","6-12","0-60 Mins","60 MINS TO 180 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2213","Cheapseats Airlines Inc.","36-46","Female","Platinum","1","<-0.75","Business travel","0","Eco Plus","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"2214","Oursin Airlines Inc.","47-58","Male","Blue","2","-0.451 to 0.0588","Personal Travel","0","Eco","38+","20 MINS TO 60 MINS","20 MINS TO 60 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2215","Southeast Airlines Co.","71+","Female","Gold","1","-0.451 to 0.0588","Personal Travel","0","Eco Plus","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","LESS THAN 400 MILES","No","1"
"2216","Northwest Business Airlines Inc.","57-71","Female","Blue","1","-0.451 to 0.0588","Business travel","0","Eco Plus","13-25","LESS THAN 5 MINS","20 MINS TO 60 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2217","Oursin Airlines Inc.","25-35","Male","Blue","1","0.059 to 0.3768","Business travel","1+","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","180+ Minutes","1000.0+ MILES","No","0"
"2218","EnjoyFlying Air Services","71+","Female","Blue","1","-0.451 to 0.0588","Personal Travel","0","Eco","38+","0","0","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","Yes","1"
"2219","Cheapseats Airlines Inc.","57-71","Male","Silver","2","0.059 to 0.3768","Business travel","0","Eco","<6","0","0","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","Yes","0"
"2220","Cheapseats Airlines Inc.","47-58","Female","Blue","2","<-0.75","Business travel","0","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","0"
"2221","Cheapseats Airlines Inc.","36-46","Male","Blue","1","-0.451 to 0.0588","Mileage tickets","1+","Eco","26-38","20 MINS TO 60 MINS","20 MINS TO 60 MINS","180+ Minutes","1000.0+ MILES","No","1"
"2222","Cheapseats Airlines Inc.","<24","Male","Blue","2","-0.451 to 0.0588","Business travel","1+","Eco","26-38","10 MINS TO 20 MINS","20 MINS TO 60 MINS","180+ Minutes","1000.0+ MILES","No","1"
"2223","GoingNorth Airlines Inc.","47-58","Female","Blue","1","<-0.75","Business travel","0","Eco","6-12","20 MINS TO 60 MINS","20 MINS TO 60 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"2224","Sigma Airlines Inc.","47-58","Male","Blue","1","-0.451 to 0.0588","Mileage tickets","0","Eco","26-38","20 MINS TO 60 MINS","20 MINS TO 60 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2225","FlyFast Airways Inc.","47-58","Female","Blue","2","<-0.75","Personal Travel","0","Eco","13-25","0-60 Mins","60 MINS TO 180 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2226","Southeast Airlines Co.","36-46","Female","Silver","1","0.059 to 0.3768","Personal Travel","1+","Business","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"2227","Cheapseats Airlines Inc.","47-58","Female","Gold","1","<-0.75","Personal Travel","0","Eco","6-12","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","1000.0+ MILES","No","1"
"2228","Southeast Airlines Co.","25-35","Male","Blue","1","<-0.75","Business travel","1+","Eco","13-25","5 MINS TO 10 MINS","LESS THAN 5 MINS","180+ Minutes","1000.0+ MILES","No","0"
"2229","Paul Smith Airlines Inc.","57-71","Female","Silver","1","-0.451 to 0.0588","Personal Travel","0","Eco","38+","LESS THAN 5 MINS","LESS THAN 5 MINS","180+ Minutes","1000.0+ MILES","No","1"
"2230","Cheapseats Airlines Inc.","25-35","Male","Blue","2","<-0.75","Business travel","1+","Eco","6-12","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","1"
"2231","Sigma Airlines Inc.","<24","Male","Blue","1","-0.451 to 0.0588","Business travel","1","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","400 MILES TO 1000.0 MILES","No","1"
"2232","Cheapseats Airlines Inc.","36-46","Female","Gold","1","-0.451 to 0.0588","Business travel","0","Eco","13-25","5 MINS TO 10 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","0"
"2233","Oursin Airlines Inc.","36-46","Male","Blue","1","-0.451 to 0.0588","Business travel","0","Eco","26-38","LESS THAN 5 MINS","LESS THAN 5 MINS","180+ Minutes","1000.0+ MILES","No","0"
"2234","Cheapseats Airlines Inc.","36-46","Female","Blue","0","<-0.75","Business travel","1","Eco","6-12","10 MINS TO 20 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","1000.0+ MILES","No","0"
"2235","Oursin Airlines Inc.","36-46","Male","Blue","2","0.059 to 0.3768","Business travel","1","Eco","6-12","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"2236","FlyFast Airways Inc.","36-46","Male","Blue","2","-0.451 to 0.0588","Business travel","1","Business","26-38","20 MINS TO 60 MINS","20 MINS TO 60 MINS","60 MINS TO 180 MINS","LESS THAN 400 MILES","No","1"
"2237","Southeast Airlines Co.","57-71","Male","Silver","2","-0.451 to 0.0588","Business travel","0","Eco","26-38","20 MINS TO 60 MINS","20 MINS TO 60 MINS","180+ Minutes","1000.0+ MILES","No","0"
"2238","FlyToSun Airlines Inc.","<24","Male","Blue","1","-0.451 to 0.0588","Business travel","1","Business","38+","LESS THAN 5 MINS","10 MINS TO 20 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2239","Cheapseats Airlines Inc.","36-46","Male","Blue","2","-0.451 to 0.0588","Business travel","1+","Eco","26-38","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2240","FlyFast Airways Inc.","25-35","Female","Blue","1","-0.451 to 0.0588","Business travel","1+","Eco","38+","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2241","Paul Smith Airlines Inc.","25-35","Female","Silver","1","0.3768+","Business travel","1+","Business","<6","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","1000.0+ MILES","No","1"
"2242","Sigma Airlines Inc.","36-46","Male","Silver","1","<-0.75","Business travel","0","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"2243","Southeast Airlines Co.","36-46","Female","Blue","2","<-0.75","Business travel","1","Business","6-12","LESS THAN 5 MINS","10 MINS TO 20 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","0"
"2244","Sigma Airlines Inc.","71+","Female","Blue","1","-0.451 to 0.0588","Personal Travel","0","Business","13-25","5 MINS TO 10 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","1000.0+ MILES","No","1"
"2245","Southeast Airlines Co.","47-58","Female","Blue","1","-0.451 to 0.0588","Business travel","0","Business","6-12","LESS THAN 5 MINS","5 MINS TO 10 MINS","60 MINS TO 180 MINS","1000.0+ MILES","No","0"
"2246","Sigma Airlines Inc.","25-35","Male","Silver","1","<-0.75","Business travel","1+","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","180+ Minutes","1000.0+ MILES","No","0"
"2247","Cheapseats Airlines Inc.","47-58","Male","Blue","1","<-0.75","Business travel","0","Eco","26-38","10 MINS TO 20 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2248","Sigma Airlines Inc.","36-46","Female","Gold","1","0.059 to 0.3768","Personal Travel","1+","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","180+ Minutes","1000.0+ MILES","No","1"
"2249","Sigma Airlines Inc.","57-71","Male","Blue","2","0.059 to 0.3768","Personal Travel","0","Eco","<6","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2250","Cheapseats Airlines Inc.","<24","Male","Blue","1","-0.451 to 0.0588","Mileage tickets","1+","Eco","26-38","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","0"
"2251","Cool&Young Airlines Inc.","25-35","Female","Blue","1","<-0.75","Business travel","1+","Eco Plus","6-12","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"2252","EnjoyFlying Air Services","36-46","Male","Blue","1","-0.451 to 0.0588","Mileage tickets","0","Eco","38+","0","0","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","Yes","1"
"2253","OnlyJets Airlines Inc.","71+","Female","Blue","1","-0.451 to 0.0588","Personal Travel","0","Eco","38+","20 MINS TO 60 MINS","20 MINS TO 60 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","1"
"2254","Northwest Business Airlines Inc.","71+","Male","Blue","1","-0.451 to 0.0588","Personal Travel","0","Eco","26-38","0-60 Mins","60 MINS TO 180 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","1"
"2255","Cheapseats Airlines Inc.","47-58","Male","Blue","1","<-0.75","Business travel","1","Eco","6-12","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","1000.0+ MILES","No","1"
"2256","Sigma Airlines Inc.","57-71","Female","Blue","1","0.059 to 0.3768","Personal Travel","1","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","1000.0+ MILES","No","1"
"2257","Cheapseats Airlines Inc.","71+","Male","Silver","1","-0.451 to 0.0588","Personal Travel","0","Eco Plus","13-25","10 MINS TO 20 MINS","10 MINS TO 20 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2258","Cheapseats Airlines Inc.","47-58","Female","Blue","2","<-0.75","Personal Travel","0","Eco","6-12","20 MINS TO 60 MINS","20 MINS TO 60 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2259","Sigma Airlines Inc.","57-71","Female","Blue","2","-0.451 to 0.0588","Personal Travel","0","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"2260","Sigma Airlines Inc.","47-58","Female","Gold","1","-0.451 to 0.0588","Business travel","0","Eco","13-25","0-60 Mins","60 MINS TO 180 MINS","60 MINS TO 180 MINS","1000.0+ MILES","No","1"
